De Rock Jungle Living Masinagudi	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(General_Newspapers; 1)=0.54 3: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5]
OYO Rooms Hasanpura Flyover	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Jai Maata Grandeur	[1: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.57 2: ¬(Reception services_Luggage storage; 1)=0.54 3: ¬(Media & Technology_Flat-screen TV; 1)=0.5]
Taj Mahal Home Stay	[1: ¬(General_Newspapers; 1)=0.54 2: ¬(Bathroom_Free toiletries; 1)=0.45 3: ¬(Parking_Free! Free private parking is possible on site (reservation is not needed).; 1)=0.45]
The Naagaa Residency	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 3: ¬(General_Fan; 1)=0.46]
Capri Hotel	[1: ¬(General_Air conditioning; 1)=0.54 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 3: ¬(Bathroom_Free toiletries; 1)=0.45]
Oceana Homestay	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(General_Air conditioning; 1)=0.54 3: ¬(General_Newspapers; 1)=0.54]
OYO Rooms Lake Town Block A	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(General_Air conditioning; 1)=0.54]
The Lake Shore Appartment	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(General_Air conditioning; 1)=0.54 3: ¬(General_Newspapers; 1)=0.54]
Hotel Gandharva By Peppermint	[1: ¬(property_type; 204)=0.8 2: ¬(General_Fan; 1)=0.59 3: ¬(Bedroom_Wardrobe/Closet; 1)=0.52]
Relax Inn	[1: ¬(Pets_Pets are not allowed.; 1)=0.86 2: ¬(Bathroom_Bathroom; 1)=0.59 3: ¬(Bathroom_Toilet; 1)=0.59]
Riva Residency	[1: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.5 2: ¬(Food & Drink_Breakfast in the room; 1)=0.36 3: ¬(Cleaning services_Dry cleaning; 1)=0.33]
Hotel Diamond Plaza	[1: ¬(General_Lift; 1)=0.71 2: ¬(General_Room service; 1)=0.65 3: ¬(Cleaning services_Laundry; 1)=0.63]
Hotel Shri Dev	[1: ¬(General_Newspapers; 1)=0.64 2: ¬(Food & Drink_Restaurant; 1)=0.64 3: ¬(Bathroom_Free toiletries; 1)=0.58]
Hotel Giani International	[1: ¬(Bathroom_Bathroom; 1)=0.59 2: ¬(Bathroom_Toilet; 1)=0.59 3: ¬(Bathroom_Shower; 1)=0.53]
Hotel Madhuban Haveli	[1: ¬(property_type; 204)=0.79 2: ¬(General_Newspapers; 1)=0.64 3: ¬(General_Air conditioning; 1)=0.64]
Hotel Shri Swarna's Palace - A Business Class Hotel	[1: ¬(Food & Drink_Restaurant; 1)=0.64 2: ¬(Bathroom_Free toiletries; 1)=0.58 3: ¬(Media & Technology_Telephone; 1)=0.51]
Kanha Resort	[1: ¬(Cleaning services_Laundry; 1)=0.49 2: ¬(Internet_Free! WiFi is available in all areas and is free of charge.; 1)=0.44 3: ¬(Reception services_24-hour front desk; 1)=0.44]
